evaluation,direct_success,split_success,direct_mean_cost,split_mean_cost,split_relative_change_percent,direct_mean_vehicles,split_mean_vehicles,direct_wins,ties,split_wins,direct_mean_inference_seconds,split_mean_inference_seconds
固定 CVRPTW100,10000,10000,28.095818264389038,30.57115048904419,8.81032259449297,18.87,22.3295,9909,0,91,0.011168959028786049,0.010184227252518758
Solomon-100,56,56,1695.8742555564838,1796.2513241535773,5.918898070904199,9.964285714285714,15.303571428571429,32,0,24,0.4045969673565456,0.38696561966623577
XML100（CVRPTW→CVRP）,10000,10000,109862.7146,52334.3949,-52.36382507883162,100.0,14.4594,0,0,10000,0.0054808157199528066,0.0018874925755430012
n=200（CVRPTW→CVRP）,1000,1000,206.99485354921478,108.53476197357321,-47.56644423153828,200.0,26.37,0,0,1000,0.01808162446785718,0.008426622294355184
n=500（CVRPTW→CVRP）,1000,1000,517.4201100343245,270.92343240596495,-47.63956267799632,500.0,65.588,0,0,1000,0.16843063409160822,0.0819831644478254
n=1000（CVRPTW→CVRP）,1000,1000,1034.421493017941,541.1505338716171,-47.685683493214945,1000.0,131.045,0,0,1000,1.383377229940612,0.6179734762194566
