protocol,model,customers,family,instances,successful_instances,no_feasible_instances,status_counts,mean_selected_vehicles,mean_selected_distance_raw,selected_exceeds_reported_fleet_instances,mean_distance_only_vehicles,mean_distance_only_raw,mean_official_lex_vehicles,mean_official_lex_raw,same_candidate_count,sintef_same_vehicle_instances,sintef_mean_official_gap_pct_same_vehicle_only,sintef_mean_nonofficial_distance_only_gap_pct,legacy_mean_gap_pct_noncomparable,all_candidates_feasible
mvmoe_table7_greedy_8fold_distance,am_split_tw_n100_historical,100,ALL,56,56,0,ok:56,27.517857142857142,2131.794111264398,31,27.517857142857142,2131.794111264398,27.517857142857142,2131.794111264398,56,0,,128.672376093261,,True
mvmoe_table7_greedy_8fold_distance,am_split_tw_n100_historical,100,C1,9,9,0,ok:9,35.22222222222222,2398.7864744228664,8,35.22222222222222,2398.7864744228664,35.22222222222222,2398.7864744228664,9,0,,189.50716706659082,,True
mvmoe_table7_greedy_8fold_distance,am_split_tw_n100_historical,100,C2,8,8,0,ok:8,29.125,2629.555694489085,5,29.125,2629.555694489085,29.125,2629.555694489085,8,0,,345.7362344351386,,True
mvmoe_table7_greedy_8fold_distance,am_split_tw_n100_historical,100,R1,12,12,0,ok:12,28.333333333333332,1871.2230861442604,6,28.333333333333332,1871.2230861442604,28.333333333333332,1871.2230861442604,12,0,,52.495816383386234,,True
mvmoe_table7_greedy_8fold_distance,am_split_tw_n100_historical,100,R2,11,11,0,ok:11,22.0,1778.8953447053789,3,22.0,1778.8953447053789,22.0,1778.8953447053789,11,0,,85.6099026865866,,True
mvmoe_table7_greedy_8fold_distance,am_split_tw_n100_historical,100,RC1,8,8,0,ok:8,28.0,2200.1836650860055,5,28.0,2200.1836650860055,28.0,2200.1836650860055,8,0,,56.99224321705525,,True
mvmoe_table7_greedy_8fold_distance,am_split_tw_n100_historical,100,RC2,8,8,0,ok:8,23.125,2141.3689073636815,4,23.125,2141.3689073636815,23.125,2141.3689073636815,8,0,,88.32525128158264,,True
mvmoe_table7_greedy_8fold_distance,am_split_tw_n50,50,ALL,56,56,0,ok:56,13.428571428571429,1066.2255135153455,0,13.428571428571429,1066.2255135153455,13.428571428571429,1066.2255135153455,56,0,,,97.71009978770324,True
mvmoe_table7_greedy_8fold_distance,am_split_tw_n50,50,C1,9,9,0,ok:9,18.0,922.9610779041361,0,18.0,922.9610779041361,18.0,922.9610779041361,9,0,,,155.03195040935304,True
mvmoe_table7_greedy_8fold_distance,am_split_tw_n50,50,C2,8,8,0,ok:8,13.625,1111.9131966456532,0,13.625,1111.9131966456532,13.625,1111.9131966456532,8,0,,,210.5654812512515,True
mvmoe_table7_greedy_8fold_distance,am_split_tw_n50,50,R1,12,12,0,ok:12,14.083333333333334,1037.0349998726495,0,14.083333333333334,1037.0349998726495,14.083333333333334,1037.0349998726495,12,0,,,34.15680483236196,True
mvmoe_table7_greedy_8fold_distance,am_split_tw_n50,50,R2,11,11,0,ok:11,11.454545454545455,1052.6341880228197,0,11.454545454545455,1052.6341880228197,11.454545454545455,1052.6341880228197,11,0,,,69.37647877345121,True
mvmoe_table7_greedy_8fold_distance,am_split_tw_n50,50,RC1,8,8,0,ok:8,12.875,1198.3130612125476,0,12.875,1198.3130612125476,12.875,1198.3130612125476,8,0,,,61.935907197742345,True
mvmoe_table7_greedy_8fold_distance,am_split_tw_n50,50,RC2,8,8,0,ok:8,10.375,1112.0966157667108,0,10.375,1112.0966157667108,10.375,1112.0966157667108,8,0,,,90.43050029236855,True
