protocol,model,architecture,trained_size,checkpoint,instance,family,customers,max_fleet,fleet_limit_enforced,coordinate_scale,candidates_total,candidates_externally_feasible,selected_vehicles,selected_distance_raw,selected_distance_2dp,selected_exceeds_reported_fleet,distance_only_vehicles,distance_only_raw,distance_only_2dp,official_lex_vehicles,official_lex_raw,official_lex_2dp,same_candidate,sintef_double_bks_vehicles,sintef_double_bks_distance,sintef_vehicle_gap,sintef_official_distance_gap_pct,sintef_nonofficial_distance_only_gap_pct,legacy_reference_vehicles,legacy_reference_distance,legacy_distance_only_gap_pct_noncomparable,elapsed_seconds,status
mvmoe_table7_greedy_8fold_distance,pomo_tw_n50,pomo_tw,50,/root/autodl-tmp/cvrptw6_fixedlr_20260822_154648/outputs/pomo_tw_n50/checkpoint-2000.pt,C101,C1,50,25,False,412.000000000000,400,400,8,497.859421304211,497.86,False,8,497.859421304211,497.86,8,497.859421304211,497.86,True,,,,,,5,362.4,37.378427512199444,1.0660905838012695,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_n50,pomo_tw,50,/root/autodl-tmp/cvrptw6_fixedlr_20260822_154648/outputs/pomo_tw_n50/checkpoint-2000.pt,C102,C1,50,25,False,412.000000000000,400,400,8,583.280835844670,583.28,False,8,583.280835844670,583.28,8,583.280835844670,583.28,True,,,,,,5,361.4,61.39480792602944,0.37111616134643555,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_n50,pomo_tw,50,/root/autodl-tmp/cvrptw6_fixedlr_20260822_154648/outputs/pomo_tw_n50/checkpoint-2000.pt,C103,C1,50,25,False,412.000000000000,400,400,6,561.703584836099,561.70,False,6,561.703584836099,561.70,6,561.703584836099,561.70,True,,,,,,5,361.4,55.42434555509118,0.3329954147338867,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_n50,pomo_tw,50,/root/autodl-tmp/cvrptw6_fixedlr_20260822_154648/outputs/pomo_tw_n50/checkpoint-2000.pt,C104,C1,50,25,False,412.000000000000,400,385,6,595.722875095829,595.72,False,6,595.722875095829,595.72,6,595.722875095829,595.72,True,,,,,,5,358.0,66.40303773626516,0.3470907211303711,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_n50,pomo_tw,50,/root/autodl-tmp/cvrptw6_fixedlr_20260822_154648/outputs/pomo_tw_n50/checkpoint-2000.pt,C105,C1,50,25,False,412.000000000000,400,400,8,498.409795666275,498.41,False,8,498.409795666275,498.41,8,498.409795666275,498.41,True,,,,,,5,362.4,37.53029681740492,0.3200795650482178,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_n50,pomo_tw,50,/root/autodl-tmp/cvrptw6_fixedlr_20260822_154648/outputs/pomo_tw_n50/checkpoint-2000.pt,C106,C1,50,25,False,412.000000000000,400,400,7,438.907438743147,438.91,False,7,438.907438743147,438.91,7,438.907438743147,438.91,True,,,,,,5,362.4,21.111324156497414,0.28633975982666016,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_n50,pomo_tw,50,/root/autodl-tmp/cvrptw6_fixedlr_20260822_154648/outputs/pomo_tw_n50/checkpoint-2000.pt,C107,C1,50,25,False,412.000000000000,400,400,7,569.446875100883,569.45,False,7,569.446875100883,569.45,7,569.446875100883,569.45,True,,,,,,5,362.4,57.13213992849978,0.310089111328125,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_n50,pomo_tw,50,/root/autodl-tmp/cvrptw6_fixedlr_20260822_154648/outputs/pomo_tw_n50/checkpoint-2000.pt,C108,C1,50,25,False,412.000000000000,400,400,8,567.627959609835,567.63,False,8,567.627959609835,567.63,8,567.627959609835,567.63,True,,,,,,5,362.4,56.63023168041818,0.29817938804626465,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_n50,pomo_tw,50,/root/autodl-tmp/cvrptw6_fixedlr_20260822_154648/outputs/pomo_tw_n50/checkpoint-2000.pt,C109,C1,50,25,False,412.000000000000,400,400,10,622.172059929218,622.17,False,10,622.172059929218,622.17,10,622.172059929218,622.17,True,,,,,,5,362.4,71.6810319892986,0.3115394115447998,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_n50,pomo_tw,50,/root/autodl-tmp/cvrptw6_fixedlr_20260822_154648/outputs/pomo_tw_n50/checkpoint-2000.pt,C201,C2,50,25,False,1130.000000000000,400,400,7,782.979544460595,782.98,False,7,782.979544460595,782.98,7,782.979544460595,782.98,True,,,,,,3,360.2,117.37355481970998,0.2789781093597412,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_n50,pomo_tw,50,/root/autodl-tmp/cvrptw6_fixedlr_20260822_154648/outputs/pomo_tw_n50/checkpoint-2000.pt,C202,C2,50,25,False,1130.000000000000,400,400,5,820.018051220344,820.02,False,5,820.018051220344,820.02,5,820.018051220344,820.02,True,,,,,,3,360.2,127.65631627438756,0.3393702507019043,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_n50,pomo_tw,50,/root/autodl-tmp/cvrptw6_fixedlr_20260822_154648/outputs/pomo_tw_n50/checkpoint-2000.pt,C203,C2,50,25,False,1130.000000000000,400,400,3,888.492985820278,888.49,False,3,888.492985820278,888.49,3,888.492985820278,888.49,True,,,,,,3,359.8,146.94079650369036,0.35280442237854004,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_n50,pomo_tw,50,/root/autodl-tmp/cvrptw6_fixedlr_20260822_154648/outputs/pomo_tw_n50/checkpoint-2000.pt,C204,C2,50,25,False,1130.000000000000,400,400,8,874.399450792820,874.40,False,8,874.399450792820,874.40,8,874.399450792820,874.40,True,,,,,,2,350.1,149.75705535356178,0.27779078483581543,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_n50,pomo_tw,50,/root/autodl-tmp/cvrptw6_fixedlr_20260822_154648/outputs/pomo_tw_n50/checkpoint-2000.pt,C205,C2,50,25,False,1130.000000000000,400,400,5,565.337680111254,565.34,False,5,565.337680111254,565.34,5,565.337680111254,565.34,True,,,,,,3,359.8,57.125536440037216,0.2681300640106201,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_n50,pomo_tw,50,/root/autodl-tmp/cvrptw6_fixedlr_20260822_154648/outputs/pomo_tw_n50/checkpoint-2000.pt,C206,C2,50,25,False,1130.000000000000,400,400,5,696.380113830458,696.38,False,5,696.380113830458,696.38,5,696.380113830458,696.38,True,,,,,,3,359.8,93.54644631196706,0.2994871139526367,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_n50,pomo_tw,50,/root/autodl-tmp/cvrptw6_fixedlr_20260822_154648/outputs/pomo_tw_n50/checkpoint-2000.pt,C207,C2,50,25,False,1130.000000000000,400,400,4,683.509252552778,683.51,False,4,683.509252552778,683.51,4,683.509252552778,683.51,True,,,,,,3,359.6,90.0748755708505,0.3203918933868408,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_n50,pomo_tw,50,/root/autodl-tmp/cvrptw6_fixedlr_20260822_154648/outputs/pomo_tw_n50/checkpoint-2000.pt,C208,C2,50,25,False,1130.000000000000,400,400,7,680.643229497116,680.64,False,7,680.643229497116,680.64,7,680.643229497116,680.64,True,,,,,,2,350.5,94.19207688933409,0.3357844352722168,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_n50,pomo_tw,50,/root/autodl-tmp/cvrptw6_fixedlr_20260822_154648/outputs/pomo_tw_n50/checkpoint-2000.pt,R101,R1,50,25,False,76.666666666667,400,400,13,1052.392662072068,1052.39,False,13,1052.392662072068,1052.39,13,1052.392662072068,1052.39,True,,,,,,12,1044.0,0.8038948344892386,0.3333737850189209,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_n50,pomo_tw,50,/root/autodl-tmp/cvrptw6_fixedlr_20260822_154648/outputs/pomo_tw_n50/checkpoint-2000.pt,R102,R1,50,25,False,76.666666666667,400,400,11,953.784783034624,953.78,False,11,953.784783034624,953.78,11,953.784783034624,953.78,True,,,,,,11,909.0,4.926818815690255,0.26691246032714844,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_n50,pomo_tw,50,/root/autodl-tmp/cvrptw6_fixedlr_20260822_154648/outputs/pomo_tw_n50/checkpoint-2000.pt,R103,R1,50,25,False,76.666666666667,400,400,9,846.747926422977,846.75,False,9,846.747926422977,846.75,9,846.747926422977,846.75,True,,,,,,9,772.9,9.554654731915745,0.2728736400604248,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_n50,pomo_tw,50,/root/autodl-tmp/cvrptw6_fixedlr_20260822_154648/outputs/pomo_tw_n50/checkpoint-2000.pt,R104,R1,50,25,False,76.666666666667,400,400,7,713.014418114665,713.01,False,7,713.014418114665,713.01,7,713.014418114665,713.01,True,,,,,,6,625.4,14.009340920157445,0.2625246047973633,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_n50,pomo_tw,50,/root/autodl-tmp/cvrptw6_fixedlr_20260822_154648/outputs/pomo_tw_n50/checkpoint-2000.pt,R105,R1,50,25,False,76.666666666667,400,400,11,967.227262257107,967.23,False,11,967.227262257107,967.23,11,967.227262257107,967.23,True,,,,,,9,899.3,7.553348410664607,0.2589993476867676,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_n50,pomo_tw,50,/root/autodl-tmp/cvrptw6_fixedlr_20260822_154648/outputs/pomo_tw_n50/checkpoint-2000.pt,R106,R1,50,25,False,76.666666666667,400,400,9,883.985291485800,883.99,False,9,883.985291485800,883.99,9,883.985291485800,883.99,True,,,,,,8,793.0,11.47355504234546,0.27305078506469727,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_n50,pomo_tw,50,/root/autodl-tmp/cvrptw6_fixedlr_20260822_154648/outputs/pomo_tw_n50/checkpoint-2000.pt,R107,R1,50,25,False,76.666666666667,400,400,8,780.481434668749,780.48,False,8,780.481434668749,780.48,8,780.481434668749,780.48,True,,,,,,7,711.1,9.756916702116246,0.27404308319091797,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_n50,pomo_tw,50,/root/autodl-tmp/cvrptw6_fixedlr_20260822_154648/outputs/pomo_tw_n50/checkpoint-2000.pt,R108,R1,50,25,False,76.666666666667,400,400,7,702.946335122820,702.95,False,7,702.946335122820,702.95,7,702.946335122820,702.95,True,,,,,,6,617.7,13.800604682340945,0.24501967430114746,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_n50,pomo_tw,50,/root/autodl-tmp/cvrptw6_fixedlr_20260822_154648/outputs/pomo_tw_n50/checkpoint-2000.pt,R109,R1,50,25,False,76.666666666667,400,400,9,828.118937351104,828.12,False,9,828.118937351104,828.12,9,828.118937351104,828.12,True,,,,,,8,786.8,5.251517202733119,0.3619358539581299,ok
