dataset,backbone,instances,direct_mean_cost,split_mean_cost,split_relative_change_percent,direct_better_instances,split_better_instances,ties,direct_mean_vehicles,split_mean_vehicles
Frozen CVRP50,AM,10000,10.690463308143615,11.103735465097428,3.865802117659367,9597,403,0,,
Frozen CVRP50,POMO,10000,10.455830437564849,10.69888903312683,2.3246225827146194,9589,408,3,,
Frozen CVRPTW50,AM,10000,16.042894787979126,17.01271316537857,6.045158247413829,9097,903,0,10.9262,12.4501
Frozen CVRPTW50,POMO,10000,15.071525067806244,15.763099152374268,4.588613836069388,9597,403,0,10.3091,11.1383
CVRPLIB XML100,AM,10000,18287.1414,18965.1351,3.7074886947612296,8059,1938,3,12.2447,12.9733
CVRPLIB XML100,POMO,10000,18018.6918,18826.5953,4.483696757608113,9530,470,0,12.2401,12.7535
Solomon50,AM,56,844.8905632694666,927.6681456607229,9.797432471127676,39,17,0,6.392857142857143,7.821428571428571
Solomon50,POMO,56,753.9661902216292,789.4445207903494,4.705559881709198,40,16,0,6.625,7.785714285714286
