schema_version,dataset,protocol,model,architecture,training_size,instance,group,depot_code,depot_type,customer_code,customer_type,demand_code,demand_type,route_size_code,route_size_type,status,failure_reason,cost,optimum,optimum_sources_agree,absolute_error,gap_percent,vehicles,no_aug_status,no_aug_failure_reason,no_aug_cost,no_aug_absolute_error,no_aug_gap_percent,no_aug_vehicles,no_aug_candidate_index,no_aug_policy_index,no_aug_candidates_generated,candidates_generated,candidate_index,augmentation_index,policy_index,inference_seconds_amortized,postprocess_seconds,physical_batch_size,checkpoint_epoch,checkpoint_sha256,checkpoint_path,routes_json
2,CVRPLIB XML100,xml100_mvmoe_greedy_8fold_official_euc2d_v2,am_direct_n50,am,50,XML100_1111_11,1111,1,random,1,random,1,unitary,1,very_short,ok,,34157,33202,True,955,2.876332751039094,25,ok,,34738,1536,4.626227335702668,26,0,0,1,8,7,7,0,0.0015885652974247932,0.0006498359143733978,128,100,bcdcdcf5ebc9b7ffdb70b6f2350a39b13b32829d1d92f5ad397e85e5ae2319c0,/root/autodl-tmp/split_v4_n50_eval_20260922/models/cvrp/am_direct/epoch-100.pt,solutions/am_direct_n50/XML100_1111_11.json
2,CVRPLIB XML100,xml100_mvmoe_greedy_8fold_official_euc2d_v2,am_direct_n50,am,50,XML100_1111_12,1111,1,random,1,random,1,unitary,1,very_short,ok,,33802,33059,True,743,2.247496899482743,25,ok,,34285,1226,3.708521128890771,25,0,0,1,8,5,5,0,0.0015885652974247932,0.0006664171814918518,128,100,bcdcdcf5ebc9b7ffdb70b6f2350a39b13b32829d1d92f5ad397e85e5ae2319c0,/root/autodl-tmp/split_v4_n50_eval_20260922/models/cvrp/am_direct/epoch-100.pt,solutions/am_direct_n50/XML100_1111_12.json
2,CVRPLIB XML100,xml100_mvmoe_greedy_8fold_official_euc2d_v2,am_direct_n50,am,50,XML100_1111_13,1111,1,random,1,random,1,unitary,1,very_short,ok,,32380,31387,True,993,3.163730206773505,25,ok,,32562,1175,3.743588109726957,26,0,0,1,8,2,2,0,0.0015885652974247932,0.0006469897925853729,128,100,bcdcdcf5ebc9b7ffdb70b6f2350a39b13b32829d1d92f5ad397e85e5ae2319c0,/root/autodl-tmp/split_v4_n50_eval_20260922/models/cvrp/am_direct/epoch-100.pt,solutions/am_direct_n50/XML100_1111_13.json
2,CVRPLIB XML100,xml100_mvmoe_greedy_8fold_official_euc2d_v2,am_direct_n50,am,50,XML100_1111_14,1111,1,random,1,random,1,unitary,1,very_short,ok,,34576,33469,True,1107,3.3075383190415013,25,ok,,35621,2152,6.429830589500732,25,0,0,1,8,7,7,0,0.0015885652974247932,0.0006582736968994141,128,100,bcdcdcf5ebc9b7ffdb70b6f2350a39b13b32829d1d92f5ad397e85e5ae2319c0,/root/autodl-tmp/split_v4_n50_eval_20260922/models/cvrp/am_direct/epoch-100.pt,solutions/am_direct_n50/XML100_1111_14.json
2,CVRPLIB XML100,xml100_mvmoe_greedy_8fold_official_euc2d_v2,am_direct_n50,am,50,XML100_1111_15,1111,1,random,1,random,1,unitary,1,very_short,ok,,40797,38924,True,1873,4.811941218785325,34,ok,,41822,2898,7.445277977597369,35,0,0,1,8,4,4,0,0.0015885652974247932,0.0006659328937530518,128,100,bcdcdcf5ebc9b7ffdb70b6f2350a39b13b32829d1d92f5ad397e85e5ae2319c0,/root/autodl-tmp/split_v4_n50_eval_20260922/models/cvrp/am_direct/epoch-100.pt,solutions/am_direct_n50/XML100_1111_15.json
2,CVRPLIB XML100,xml100_mvmoe_greedy_8fold_official_euc2d_v2,am_direct_n50,am,50,XML100_1111_16,1111,1,random,1,random,1,unitary,1,very_short,ok,,31911,30145,True,1766,5.858351302040139,34,ok,,32691,2546,8.445845082103167,34,0,0,1,8,1,1,0,0.0015885652974247932,0.0006691291928291321,128,100,bcdcdcf5ebc9b7ffdb70b6f2350a39b13b32829d1d92f5ad397e85e5ae2319c0,/root/autodl-tmp/split_v4_n50_eval_20260922/models/cvrp/am_direct/epoch-100.pt,solutions/am_direct_n50/XML100_1111_16.json
2,CVRPLIB XML100,xml100_mvmoe_greedy_8fold_official_euc2d_v2,am_direct_n50,am,50,XML100_1111_17,1111,1,random,1,random,1,unitary,1,very_short,ok,,34719,33605,True,1114,3.3149828894509747,25,ok,,34719,1114,3.3149828894509747,25,0,0,1,8,0,0,0,0.0015885652974247932,0.0006337501108646393,128,100,bcdcdcf5ebc9b7ffdb70b6f2350a39b13b32829d1d92f5ad397e85e5ae2319c0,/root/autodl-tmp/split_v4_n50_eval_20260922/models/cvrp/am_direct/epoch-100.pt,solutions/am_direct_n50/XML100_1111_17.json
2,CVRPLIB XML100,xml100_mvmoe_greedy_8fold_official_euc2d_v2,am_direct_n50,am,50,XML100_1111_18,1111,1,random,1,random,1,unitary,1,very_short,ok,,30226,29087,True,1139,3.9158386908240796,26,ok,,30664,1577,5.4216660363736375,26,0,0,1,8,1,1,0,0.0015885652974247932,0.0006097815930843353,128,100,bcdcdcf5ebc9b7ffdb70b6f2350a39b13b32829d1d92f5ad397e85e5ae2319c0,/root/autodl-tmp/split_v4_n50_eval_20260922/models/cvrp/am_direct/epoch-100.pt,solutions/am_direct_n50/XML100_1111_18.json
2,CVRPLIB XML100,xml100_mvmoe_greedy_8fold_official_euc2d_v2,am_direct_n50,am,50,XML100_1111_19,1111,1,random,1,random,1,unitary,1,very_short,ok,,23717,22719,True,998,4.392798978828293,25,ok,,23717,998,4.392798978828293,25,0,0,1,8,0,0,0,0.0015885652974247932,0.0006904937326908112,128,100,bcdcdcf5ebc9b7ffdb70b6f2350a39b13b32829d1d92f5ad397e85e5ae2319c0,/root/autodl-tmp/split_v4_n50_eval_20260922/models/cvrp/am_direct/epoch-100.pt,solutions/am_direct_n50/XML100_1111_19.json
2,CVRPLIB XML100,xml100_mvmoe_greedy_8fold_official_euc2d_v2,am_direct_n50,am,50,XML100_1111_20,1111,1,random,1,random,1,unitary,1,very_short,ok,,36997,36098,True,899,2.490442683805197,25,ok,,37345,1247,3.454485013020112,26,0,0,1,8,1,1,0,0.0015885652974247932,0.0006809830665588379,128,100,bcdcdcf5ebc9b7ffdb70b6f2350a39b13b32829d1d92f5ad397e85e5ae2319c0,/root/autodl-tmp/split_v4_n50_eval_20260922/models/cvrp/am_direct/epoch-100.pt,solutions/am_direct_n50/XML100_1111_20.json
