problem,instance,status,cost,vehicles
CVRP,0,ok,15.1442239157,12
CVRP,1,ok,20.3524965294,11
CVRP,2,ok,18.5085663789,11
CVRP,3,ok,16.2979279555,10
CVRP,4,ok,14.1390482613,11
CVRP,5,ok,14.8545383639,11
CVRP,6,ok,15.9622377736,11
CVRP,7,ok,14.5930435131,12
CVRP,8,ok,17.3639587414,10
CVRP,9,ok,19.1300197205,11
CVRP,10,ok,17.0220874572,11
CVRP,11,ok,16.6438827921,10
CVRP,12,ok,19.5380226442,10
CVRP,13,ok,15.4989617760,11
CVRP,14,ok,14.3148644828,11
CVRP,15,ok,15.5887197160,10
CVRP,16,ok,14.2421434913,11
CVRP,17,ok,16.6849295443,10
CVRP,18,ok,17.3438378098,12
CVRP,19,ok,17.2987439183,12
