instance,distance_1x,distance_aug
0,10.794595718383789,10.741430282592773
1,9.465219497680664,9.449485778808594
2,11.875621795654297,11.640626907348633
3,12.63180923461914,12.22374153137207
4,9.410074234008789,9.256721496582031
5,9.644715309143066,9.641298294067383
6,10.584575653076172,10.523941993713379
7,9.411947250366211,9.325811386108398
8,9.563499450683594,9.38017463684082
9,10.315862655639648,10.315862655639648
10,8.866427421569824,8.866427421569824
11,9.20942211151123,9.148918151855469
12,10.535116195678711,10.48847770690918
13,9.555397033691406,9.459619522094727
14,10.78228759765625,10.566427230834961
15,9.507421493530273,9.241009712219238
16,11.197896003723145,11.0309419631958
17,9.000849723815918,8.881780624389648
18,10.23701000213623,10.153091430664062
19,12.884675979614258,12.852087020874023
20,11.565470695495605,11.344386100769043
21,9.619439125061035,9.39836311340332
22,9.116376876831055,9.030680656433105
23,10.156471252441406,10.013816833496094
24,11.829029083251953,11.758329391479492
25,10.378253936767578,10.362238883972168
26,8.574300765991211,8.528322219848633
27,10.561854362487793,10.475717544555664
28,10.438100814819336,10.438100814819336
29,9.161434173583984,8.913257598876953
30,9.278212547302246,9.217353820800781
31,10.728408813476562,10.577298164367676
32,9.619623184204102,9.556187629699707
33,10.984491348266602,10.7359619140625
34,9.23597240447998,9.04095458984375
35,10.117042541503906,10.009986877441406
36,12.980950355529785,12.980950355529785
37,10.970354080200195,10.933828353881836
38,9.500712394714355,9.439804077148438
39,10.96162223815918,10.940569877624512
40,9.316664695739746,9.183823585510254
41,11.260658264160156,11.259180068969727
42,11.471996307373047,11.225974082946777
43,9.654998779296875,9.562284469604492
44,8.421907424926758,8.322582244873047
45,9.87356185913086,9.594255447387695
46,10.376007080078125,10.376007080078125
47,11.099000930786133,10.866567611694336
48,9.034202575683594,8.990543365478516
49,8.766580581665039,8.680299758911133
50,9.241061210632324,8.973875045776367
51,8.960933685302734,8.842130661010742
52,12.528691291809082,12.317197799682617
53,10.218953132629395,10.10963249206543
54,14.857572555541992,14.805312156677246
55,9.085622787475586,9.085622787475586
56,8.732053756713867,8.597983360290527
57,13.077088356018066,13.06002426147461
58,9.177513122558594,9.123953819274902
59,9.695221900939941,9.371170043945312
60,11.311917304992676,11.278753280639648
61,13.234687805175781,13.133922576904297
62,8.908231735229492,8.762401580810547
63,12.297199249267578,12.153989791870117
64,10.005334854125977,9.862388610839844
65,9.355002403259277,9.065773010253906
66,10.21749210357666,10.05836009979248
67,9.178750991821289,9.164859771728516
68,9.829925537109375,9.738130569458008
69,10.03316879272461,9.89494800567627
70,11.299407958984375,11.156681060791016
71,9.241472244262695,9.218306541442871
72,11.599976539611816,11.543045997619629
73,12.120620727539062,12.002899169921875
74,9.777099609375,9.679937362670898
75,10.029988288879395,9.864023208618164
76,10.42489242553711,10.360969543457031
77,9.768783569335938,9.768783569335938
78,9.458244323730469,9.178254127502441
79,11.83493423461914,11.694204330444336
80,10.446182250976562,10.152750015258789
