instance,distance_1x,distance_aug
0,11.775062561035156,11.775062561035156
1,10.243796348571777,10.094865798950195
2,13.061964988708496,12.405098915100098
3,13.380650520324707,13.15665054321289
4,10.033008575439453,9.47557544708252
5,10.197952270507812,10.107237815856934
6,11.511133193969727,11.511133193969727
7,9.710240364074707,9.511286735534668
8,10.288899421691895,10.089699745178223
9,11.081966400146484,10.677984237670898
10,9.760581970214844,9.396696090698242
11,9.968626022338867,9.96308422088623
12,11.555026054382324,11.138118743896484
13,10.308713912963867,9.75307846069336
14,11.113131523132324,11.00772762298584
15,9.79224967956543,9.75954818725586
16,11.216489791870117,11.216489791870117
17,9.636053085327148,9.098567962646484
18,11.346114158630371,10.699625968933105
19,14.143220901489258,13.705646514892578
20,12.796751022338867,12.401937484741211
21,10.0331449508667,9.902588844299316
22,10.065492630004883,9.46198844909668
23,11.423371315002441,10.656037330627441
24,12.837638854980469,12.494674682617188
25,11.228081703186035,10.918902397155762
26,9.081280708312988,9.028251647949219
27,11.545263290405273,11.13058853149414
28,11.419736862182617,11.23582935333252
29,9.177733421325684,9.177733421325684
30,10.397829055786133,9.801726341247559
31,11.809734344482422,11.331042289733887
32,10.620807647705078,10.06960678100586
33,11.677131652832031,11.450807571411133
34,10.022444725036621,9.247835159301758
35,10.99485969543457,10.472311973571777
36,14.885841369628906,13.843672752380371
37,11.9512300491333,11.617138862609863
38,10.313602447509766,9.752777099609375
39,12.505037307739258,11.480807304382324
40,10.301405906677246,9.634295463562012
41,12.667620658874512,11.958873748779297
42,12.852664947509766,12.239524841308594
43,10.710515022277832,10.190784454345703
44,8.880989074707031,8.880989074707031
45,10.249534606933594,10.014455795288086
46,11.374178886413574,10.94262981414795
47,11.908958435058594,11.666091918945312
48,9.702893257141113,9.583413124084473
49,9.378551483154297,9.223603248596191
50,9.921194076538086,9.645432472229004
51,9.605359077453613,9.354757308959961
52,13.4114351272583,13.146087646484375
53,11.14400863647461,10.511575698852539
54,17.07744026184082,16.05339241027832
55,9.830132484436035,9.678731918334961
56,9.799256324768066,8.95080852508545
57,13.77285385131836,13.475669860839844
58,9.422258377075195,9.365350723266602
59,10.127721786499023,10.050131797790527
60,12.599664688110352,11.976789474487305
61,14.26186752319336,13.934428215026855
62,9.202399253845215,9.091858863830566
63,13.496542930603027,13.276334762573242
64,10.379626274108887,10.056020736694336
65,9.893075942993164,9.693022727966309
66,10.77449893951416,10.713005065917969
67,9.514877319335938,9.458734512329102
68,10.392163276672363,10.19906997680664
69,10.891153335571289,10.415750503540039
70,12.175023078918457,12.11674976348877
71,9.98629379272461,9.735084533691406
72,12.498767852783203,12.177806854248047
73,13.791301727294922,12.972090721130371
74,10.320505142211914,10.050496101379395
75,10.577071189880371,10.316034317016602
76,11.634272575378418,10.728703498840332
77,10.987221717834473,10.358670234680176
78,9.78532886505127,9.29687213897705
79,12.690142631530762,12.690142631530762
80,10.895357131958008,10.785282135009766
81,10.092867851257324,9.402060508728027
82,14.106979370117188,13.747701644897461
83,11.39915943145752,11.182721138000488
84,10.294981956481934,9.94627571105957
85,10.906280517578125,9.553223609924316
86,11.96629810333252,11.792338371276855
87,12.086077690124512,12.086077690124512
88,10.770170211791992,10.257981300354004
89,10.321115493774414,9.764947891235352
90,14.086477279663086,13.482141494750977
91,10.255986213684082,9.546579360961914
92,10.581854820251465,10.540849685668945
93,10.746779441833496,10.399243354797363
94,13.52865982055664,12.929813385009766
95,11.210382461547852,10.88322639465332
96,10.505539894104004,10.287999153137207
97,11.905447006225586,11.905447006225586
98,10.5294189453125,10.440742492675781
99,11.952460289001465,11.225701332092285
100,10.8004150390625,10.619375228881836
101,13.146822929382324,12.196284294128418
102,13.155254364013672,12.498194694519043
103,11.624438285827637,11.478955268859863
104,9.80848217010498,9.80848217010498
105,8.636119842529297,8.636119842529297
106,11.497138977050781,11.2197847366333
107,13.346052169799805,13.346052169799805
108,9.78264045715332,9.450313568115234
109,9.290401458740234,8.786941528320312
110,11.710588455200195,11.710588455200195
111,10.771040916442871,10.405385971069336
112,11.430051803588867,10.874197006225586
113,13.841976165771484,13.411304473876953
114,14.374069213867188,14.374069213867188
115,12.39404010772705,12.21866512298584
116,11.721294403076172,11.496904373168945
117,13.777307510375977,12.837767601013184
118,11.505359649658203,10.691749572753906
119,11.738385200500488,11.639608383178711
120,14.250950813293457,13.565614700317383
121,12.85810661315918,12.475590705871582
122,10.57519245147705,10.547698974609375
123,10.387572288513184,9.715598106384277
124,11.859336853027344,11.66589069366455
125,9.947639465332031,9.5894775390625
126,11.426166534423828,11.426166534423828
127,9.746136665344238,9.063371658325195
128,9.652629852294922,9.424954414367676
129,12.681472778320312,12.088334083557129
130,10.982087135314941,10.647697448730469
131,11.216208457946777,10.160802841186523
132,11.17215347290039,10.874846458435059
133,9.6049222946167,9.030313491821289
134,10.92374038696289,10.364402770996094
135,12.627053260803223,11.934408187866211
136,13.84630298614502,13.277825355529785
137,12.206709861755371,12.012040138244629
138,11.587181091308594,11.354999542236328
139,10.676970481872559,9.942148208618164
140,11.801939964294434,11.420011520385742
141,9.633052825927734,9.331853866577148
142,13.090731620788574,12.69373607635498
143,11.206849098205566,10.481500625610352
144,9.73753833770752,9.483954429626465
145,13.061315536499023,12.605881690979004
146,10.525184631347656,10.525184631347656
147,9.90903377532959,9.77159595489502
148,9.328822135925293,9.328822135925293
149,12.97976303100586,12.75859546661377
150,9.740243911743164,9.466680526733398
151,12.234106063842773,12.234106063842773
152,9.354960441589355,9.282700538635254
153,9.819602012634277,9.819602012634277
154,8.795573234558105,8.795573234558105
155,10.569563865661621,10.361641883850098
156,12.360796928405762,12.261933326721191
157,13.327127456665039,13.147041320800781
158,10.298279762268066,9.435054779052734
159,8.91120719909668,8.765341758728027
160,11.231712341308594,10.832215309143066
161,10.819853782653809,10.704224586486816
162,9.876311302185059,9.601227760314941
163,11.589613914489746,11.589613914489746
164,14.251018524169922,13.03695297241211
165,8.992670059204102,8.644241333007812
166,9.418390274047852,9.093433380126953
167,12.057697296142578,11.770050048828125
168,14.758749961853027,14.048473358154297
169,10.910895347595215,10.83828067779541
170,11.555708885192871,11.475875854492188
171,11.318755149841309,11.206995010375977
172,10.824543952941895,10.682069778442383
173,11.369084358215332,11.369084358215332
174,10.73654556274414,10.649356842041016
175,12.35926628112793,12.230331420898438
176,10.736130714416504,10.631118774414062
177,10.560713768005371,10.071916580200195
178,9.294754028320312,9.080787658691406
179,9.727517127990723,9.144218444824219
180,9.515335083007812,9.44233512878418
181,10.928451538085938,10.928451538085938
