problem_size,variant_regime,paired_instances,direct_mean_cost,split_mean_cost,split_vs_direct_percent
50,all,12926,9.4500210365,9.8022195915,3.726961
50,trained_variant,6000,9.9701288512,10.2516917405,2.824065
50,unseen_variant,6926,8.9994511711,9.4128414665,4.593506
100,all,12178,15.1548371497,16.4380522829,8.467363
100,trained_variant,6000,16.2879516365,17.5548552452,7.778164
100,unseen_variant,6178,14.0543698592,15.3534265506,9.243080
200,all,12004,26.7997386836,28.9560280300,8.045934
200,trained_variant,6000,28.6471496236,30.5698779324,6.711761
200,unseen_variant,6004,24.9535585304,27.3432533108,9.576569
