model,trained_size,evaluation_size,variant_regime,paired_instances,direct_mean_cost,split_mean_cost,split_vs_direct_percent
MVMoE_4E_L,100,50,all,12666,9.7283757206,10.3594314263,6.486753
MVMoE_4E_L,100,50,trained_variant,6000,10.2670941113,10.8037414950,5.226867
MVMoE_4E_L,100,50,unseen_variant,6666,9.2434806794,9.9595123726,7.746343
MVMoE_4E_L,100,100,all,12112,14.6025625079,15.4214066211,5.607537
MVMoE_4E_L,100,100,trained_variant,6000,15.7058824325,16.5369658041,5.291542
MVMoE_4E_L,100,100,unseen_variant,6112,13.5194604877,14.3262896222,5.967909
MVMoE_4E_L,100,200,all,12003,23.6497704820,26.2569929422,11.024303
MVMoE_4E_L,100,200,trained_variant,6000,25.1884104493,27.8532784859,10.579739
MVMoE_4E_L,100,200,unseen_variant,6003,22.1118994503,24.6615051425,11.530469
