problem_size,problem,variant_regime,instances,direct_ok,split_ok,split_failed,direct_mean_cost_all,direct_mean_cost_paired,split_mean_cost_paired,split_vs_direct_percent,split_mean_vehicles
50,CVRP,trained_variant,1000,1000,1000,0,10.4830494132,10.4830494132,10.9697232188,4.642483,7.149000
50,OVRP,trained_variant,1000,1000,1000,0,6.8028768296,6.8028768296,6.8924261861,1.316345,8.674000
50,OVRPB,unseen_variant,1000,1000,1000,0,6.2638336353,6.2638336353,6.6574820328,6.284464,6.048000
50,OVRPBL,unseen_variant,1000,1000,1000,0,6.2462253819,6.2462253819,6.6332486039,6.196114,6.126000
50,OVRPBLTW,unseen_variant,1000,1000,164,836,9.8582798381,9.6449581879,11.0900027331,14.982383,14.780488
50,OVRPBTW,unseen_variant,1000,1000,176,824,9.8489164023,9.5874040262,11.1059583681,15.839057,14.903409
50,OVRPL,unseen_variant,1000,1000,1000,0,6.7963989878,6.7963989878,6.8819952939,1.259436,8.671000
50,OVRPLTW,unseen_variant,1000,1000,1000,0,9.3144443803,9.3144443803,9.7775143840,4.971526,13.574000
50,OVRPTW,trained_variant,1000,1000,1000,0,9.3176768804,9.3176768804,9.7785375140,4.946089,13.577000
50,VRPB,trained_variant,1000,1000,1000,0,8.2488628345,8.2488628345,8.6527127756,4.895826,4.520000
50,VRPBL,unseen_variant,1000,1000,1000,0,8.2560081396,8.2560081396,8.6946638744,5.313170,4.639000
50,VRPBLTW,unseen_variant,1000,1000,180,820,16.4815719862,15.6792869992,19.0872435828,21.735405,14.177778
50,VRPBTW,unseen_variant,1000,1000,180,820,16.5628313322,15.9125554933,19.4856954980,22.454847,14.194444
50,VRPL,trained_variant,1000,1000,1000,0,10.5555495415,10.5555495415,11.0496978277,4.681407,7.193000
50,VRPLTW,unseen_variant,1000,1000,1000,0,15.4558501263,15.4558501263,17.0654513716,10.414188,12.520000
50,VRPTW,trained_variant,1000,1000,1000,0,15.5125429964,15.5125429964,17.1420549426,10.504480,12.511000
100,CVRP,trained_variant,1000,1000,1000,0,15.7896649504,15.7896649504,16.5925779678,5.085054,11.121000
100,OVRP,trained_variant,1000,1000,1000,0,10.1684992275,10.1684992275,10.3584431976,1.867965,12.830000
100,OVRPB,unseen_variant,1000,1000,1000,0,8.9792972236,8.9792972236,9.5702075219,6.580808,8.597000
100,OVRPBL,unseen_variant,1000,1000,1000,0,8.9611250496,8.9611250496,9.5709984724,6.805768,8.687000
100,OVRPBLTW,unseen_variant,1000,1000,25,975,15.7382848206,15.2128492737,17.1424874698,12.684266,22.360000
100,OVRPBTW,unseen_variant,1000,1000,24,976,15.8791056070,15.5520218213,18.3639484580,18.080779,22.875000
100,OVRPL,unseen_variant,1000,1000,1000,0,10.1257818661,10.1257818661,10.3164985591,1.883476,12.859000
100,OVRPLTW,unseen_variant,1000,1000,1000,0,14.8957336788,14.8957336788,15.6657575981,5.169426,20.692000
100,OVRPTW,trained_variant,1000,1000,1000,0,15.0078562841,15.0078562841,15.7708155173,5.083732,20.780000
100,VRPB,trained_variant,1000,1000,1000,0,12.0723353329,12.0723353329,12.7186103663,5.353356,6.965000
100,VRPBL,unseen_variant,1000,1000,1000,0,11.9982043638,11.9982043638,12.6523137856,5.451728,7.037000
100,VRPBLTW,unseen_variant,1000,1000,28,972,27.2473251400,24.9079366412,29.7663760137,19.505587,22.785714
100,VRPBTW,unseen_variant,1000,1000,22,978,27.3190958710,25.8119810278,30.5070125000,18.189350,22.727273
100,VRPL,trained_variant,1000,1000,1000,0,15.8454521780,15.8454521780,16.6445266849,5.042926,11.175000
100,VRPLTW,unseen_variant,1000,1000,1000,0,25.6191507244,25.6191507244,27.6125825942,7.781022,20.102000
100,VRPTW,trained_variant,1000,1000,1000,0,25.6102850647,25.6102850647,27.6344598474,7.903757,20.124000
200,CVRP,trained_variant,1000,1000,1000,0,22.5968400555,22.5968400555,24.4218821686,8.076537,15.885000
200,OVRP,trained_variant,1000,1000,1000,0,14.9036289454,14.9036289454,15.6900833594,5.276932,18.392000
200,OVRPB,unseen_variant,1000,1000,1000,0,13.0891106901,13.0891106901,14.1923274375,8.428508,12.073000
200,OVRPBL,unseen_variant,1000,1000,1000,0,13.0590760632,13.0590760632,14.1240928228,8.155376,12.095000
200,OVRPBLTW,unseen_variant,1000,1000,0,1000,27.5110201664,nan,nan,nan,nan
200,OVRPBTW,unseen_variant,1000,1000,1,999,27.8086003933,22.6336078644,26.8079420671,18.443079,39.000000
200,OVRPL,unseen_variant,1000,1000,1000,0,14.9111193419,14.9111193419,15.6936797617,5.248167,18.326000
200,OVRPLTW,unseen_variant,1000,1000,1000,0,26.2294581795,26.2294581795,28.9667985638,10.436130,39.208000
200,OVRPTW,trained_variant,1000,1000,1000,0,26.3356475773,26.3356475773,29.1173283675,10.562417,39.148000
200,VRPB,trained_variant,1000,1000,1000,0,17.3218671360,17.3218671360,18.6776212185,7.826836,10.002000
200,VRPBL,unseen_variant,1000,1000,1000,0,17.3989996614,17.3989996614,18.8445048746,8.307979,10.117000
200,VRPBLTW,unseen_variant,1000,1000,0,1000,49.6268411026,nan,nan,nan,nan
200,VRPBTW,unseen_variant,1000,1000,1,999,48.7168406410,45.4662437439,58.0894635629,27.763938,48.000000
200,VRPL,trained_variant,1000,1000,1000,0,22.5906667023,22.5906667023,24.4032759046,8.023708,15.799000
200,VRPLTW,unseen_variant,1000,1000,1000,0,47.2192594318,47.2192594318,54.8303229814,16.118558,41.279000
200,VRPTW,trained_variant,1000,1000,1000,0,46.3764100571,46.3764100571,53.8108853395,16.030726,41.078000
