protocol,model,architecture,trained_size,checkpoint,instance,family,customers,max_fleet,fleet_limit_enforced,coordinate_scale,candidates_total,candidates_externally_feasible,selected_vehicles,selected_distance_raw,selected_distance_2dp,selected_exceeds_reported_fleet,distance_only_vehicles,distance_only_raw,distance_only_2dp,official_lex_vehicles,official_lex_raw,official_lex_2dp,same_candidate,sintef_double_bks_vehicles,sintef_double_bks_distance,sintef_vehicle_gap,sintef_official_distance_gap_pct,sintef_nonofficial_distance_only_gap_pct,legacy_reference_vehicles,legacy_reference_distance,legacy_distance_only_gap_pct_noncomparable,elapsed_seconds,status
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,C205,C2,50,25,False,1130.000000000000,400,400,5,565.337680111254,565.34,False,5,565.337680111254,565.34,5,565.337680111254,565.34,True,,,,,,3,359.8,57.125536440037216,0.12592768669128418,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,C206,C2,50,25,False,1130.000000000000,400,400,5,696.380113830458,696.38,False,5,696.380113830458,696.38,5,696.380113830458,696.38,True,,,,,,3,359.8,93.54644631196706,0.13572478294372559,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,C207,C2,50,25,False,1130.000000000000,400,400,4,683.509252552778,683.51,False,4,683.509252552778,683.51,4,683.509252552778,683.51,True,,,,,,3,359.6,90.0748755708505,0.15263748168945312,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,C208,C2,50,25,False,1130.000000000000,400,400,7,680.643229497116,680.64,False,7,680.643229497116,680.64,7,680.643229497116,680.64,True,,,,,,2,350.5,94.19207688933409,0.18202805519104004,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,R101,R1,50,25,False,76.666666666667,400,400,13,1052.392662072068,1052.39,False,13,1052.392662072068,1052.39,13,1052.392662072068,1052.39,True,,,,,,12,1044.0,0.8038948344892386,0.12812018394470215,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,R102,R1,50,25,False,76.666666666667,400,400,11,953.784783034624,953.78,False,11,953.784783034624,953.78,11,953.784783034624,953.78,True,,,,,,11,909.0,4.926818815690255,0.12388229370117188,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,R103,R1,50,25,False,76.666666666667,400,400,9,846.747926422977,846.75,False,9,846.747926422977,846.75,9,846.747926422977,846.75,True,,,,,,9,772.9,9.554654731915745,0.12500572204589844,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,R104,R1,50,25,False,76.666666666667,400,400,7,713.014418114665,713.01,False,7,713.014418114665,713.01,7,713.014418114665,713.01,True,,,,,,6,625.4,14.009340920157445,0.1212165355682373,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,R105,R1,50,25,False,76.666666666667,400,400,11,967.227262257107,967.23,False,11,967.227262257107,967.23,11,967.227262257107,967.23,True,,,,,,9,899.3,7.553348410664607,0.13199520111083984,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,R106,R1,50,25,False,76.666666666667,400,400,9,883.985291485800,883.99,False,9,883.985291485800,883.99,9,883.985291485800,883.99,True,,,,,,8,793.0,11.47355504234546,0.12812447547912598,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,R107,R1,50,25,False,76.666666666667,400,400,8,780.481434668749,780.48,False,8,780.481434668749,780.48,8,780.481434668749,780.48,True,,,,,,7,711.1,9.756916702116246,0.12490439414978027,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,R108,R1,50,25,False,76.666666666667,400,400,7,702.946335122820,702.95,False,7,702.946335122820,702.95,7,702.946335122820,702.95,True,,,,,,6,617.7,13.800604682340945,0.12469959259033203,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,R109,R1,50,25,False,76.666666666667,400,400,9,828.118937351104,828.12,False,9,828.118937351104,828.12,9,828.118937351104,828.12,True,,,,,,8,786.8,5.251517202733119,0.12483453750610352,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,R110,R1,50,25,False,76.666666666667,400,400,8,730.820544981021,730.82,False,8,730.820544981021,730.82,8,730.820544981021,730.82,True,,,,,,7,697.0,4.852302005885421,0.12374520301818848,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,R111,R1,50,25,False,76.666666666667,400,400,8,755.179956426291,755.18,False,8,755.179956426291,755.18,8,755.179956426291,755.18,True,,,,,,7,707.2,6.784496101002667,0.15887188911437988,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,R112,R1,50,25,False,76.666666666667,400,400,7,668.847788269498,668.85,False,7,668.847788269498,668.85,7,668.847788269498,668.85,True,,,,,,6,630.2,6.132622702237129,0.12264204025268555,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,R201,R2,50,25,False,333.333333333333,400,400,7,1036.701949129706,1036.70,False,7,1036.701949129706,1036.70,7,1036.701949129706,1036.70,True,,,,,,6,791.9,30.913240198220205,0.13309240341186523,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,R202,R2,50,25,False,333.333333333333,400,400,6,964.963622433398,964.96,False,6,964.963622433398,964.96,6,964.963622433398,964.96,True,,,,,,5,698.5,38.1479774421472,0.12541985511779785,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,R203,R2,50,25,False,333.333333333333,400,400,4,874.073058081687,874.07,False,4,874.073058081687,874.07,4,874.073058081687,874.07,True,,,,,,5,605.3,44.40328070075783,0.12851357460021973,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,R204,R2,50,25,False,333.333333333333,400,400,3,688.384070084657,688.38,False,3,688.384070084657,688.38,3,688.384070084657,688.38,True,,,,,,2,506.4,35.93682268654355,0.13372468948364258,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,R205,R2,50,25,False,333.333333333333,400,400,6,881.713595669454,881.71,False,6,881.713595669454,881.71,6,881.713595669454,881.71,True,,,,,,4,690.1,27.76606226191194,0.13094782829284668,ok
