model,architecture,training_size,aggregation,value,expected_count,failure_count,success_rate,status_counts_json,ok_count,mean_cost,mean_optimum,mean_absolute_error,mean_gap_percent,median_gap_percent,gap_std_percent,gap_sem_percent,gap_ci95_low_percent,gap_ci95_high_percent,gap_ci95_method,gap_p90_percent,gap_p95_percent,gap_p99_percent,gap_max_percent,optimal_hits,mean_vehicles,mean_inference_seconds_amortized,mean_postprocess_seconds,throughput_instances_per_inference_second,no_aug_ok_count,no_aug_failure_count,no_aug_success_rate,no_aug_mean_cost,no_aug_mean_absolute_error,no_aug_mean_gap_percent,no_aug_median_gap_percent,no_aug_gap_std_percent,no_aug_gap_sem_percent,no_aug_gap_ci95_low_percent,no_aug_gap_ci95_high_percent,no_aug_gap_ci95_method,no_aug_gap_p95_percent,no_aug_gap_p99_percent,no_aug_gap_max_percent,no_aug_optimal_hits,no_aug_mean_vehicles,macro_mean_of_complete_group_gaps,complete_groups,no_aug_macro_mean_of_complete_group_gaps,no_aug_complete_groups
am_n100,am,100,overall,CVRPLIB XML100,10000,0,1.0,"{""ok"": 10000}",10000,18391.5513,16975.9245,1415.6268,8.727344113236404,7.197791674318398,6.011856973225537,0.06011856973225537,8.609499616880129,8.845188609592679,student_t,14.728643529006705,17.863568480635788,31.515105439692597,112.1682075753057,0,12.7066,0.004910509596765041,0.0013139049984514713,203.64485198415713,10000,0,1.0,19490.8321,2514.9076,15.073526803534335,10.68526447667985,29.763944927731327,0.2976394492773133,14.490093578957381,15.656960028111289,student_t,32.333198879128304,82.56844860906008,1480.5877483443708,0,13.6372,8.73047075493654,378,15.0848350611788,378
am_n100,am,100,depot,centered,3322,0,1.0,"{""ok"": 3322}",3322,14221.295906080675,13102.07344972908,1119.2224563515954,8.680246223782738,7.199841737620535,6.409437043942088,0.11120391369691204,8.462211093864854,8.898281353700623,student_t,13.827951007162433,17.580543961457202,35.26132482139062,84.98688174132738,0,12.770319084888621,0.004794070452264152,0.0013197323028166419,208.59101049041078,3322,0,1.0,14958.056893437688,1855.9834437086092,14.885859676817612,10.845847151485133,36.8524570699279,0.6393911707732263,13.632219113699911,16.139500239935312,student_t,30.46900816239814,64.10805429079029,1480.5877483443708,0,13.422636965683322,,,,
am_n100,am,100,depot,cornered,3276,0,1.0,"{""ok"": 3276}",3276,23442.29426129426,21684.612637362636,1757.681623931624,8.534808342580444,7.076918333596087,5.059426184991062,0.08839532920399922,8.361492627840015,8.708124057320873,student_t,14.943250670850725,17.526936190162075,25.694115561743402,55.04601713741669,0,12.597069597069597,0.005015640215514971,0.0013166271691393647,199.37634220785648,3276,0,1.0,25041.738705738706,3357.1260683760684,14.913660463868613,10.052736373963713,25.23325137953482,0.44086058003931294,14.049270148017658,15.778050779719567,student_t,32.819215608744635,108.09419732003308,816.7747914735867,0,13.902319902319903,,,,
am_n100,am,100,depot,random,3402,0,1.0,"{""ok"": 3402}",3402,17600.062316284537,16224.387419165198,1375.6748971193415,8.958739284733754,7.334612196488678,6.4345881528159286,0.11031983417843187,8.742439405560525,9.175039163906984,student_t,15.276206078757824,18.232392999025556,32.23586976084351,112.1682075753057,0,12.749853027630806,0.004922973715226883,0.0013055933769715667,203.12925842097727,3402,0,1.0,18571.69900058789,2347.3115814226926,15.410726193216249,11.03880933174777,25.789165178981744,0.44215050887140167,14.543818602595852,16.277633783836645,student_t,33.54017743034846,81.29578727343245,691.7740712661107,0,13.591416813639036,,,,
am_n100,am,100,customer,clustered,3322,0,1.0,"{""ok"": 3322}",3322,17246.385912101145,15697.985851896448,1548.400060204696,10.615911046773206,8.441292768827378,8.212991429297748,0.1424956332101477,10.336522913147038,10.895299180399375,student_t,17.938471708529164,23.677795307686125,42.8184306632999,112.1682075753057,0,12.797712221553281,0.005467948938650121,0.001323809584828115,182.88393165699006,3322,0,1.0,18955.790788681516,3257.8049367850695,21.65930660056105,13.04500161969927,49.8284259693211,0.8645245975826487,19.964251753256924,23.354361447865173,student_t,55.83317338966888,159.54825234582248,1480.5877483443708,0,14.437086092715232,,,,
am_n100,am,100,customer,random,3360,0,1.0,"{""ok"": 3360}",3360,19162.902083333334,17826.371428571427,1336.5306547619048,7.607597374140121,6.332129916131144,4.170608695067603,0.0719498355489978,7.466527455677869,7.748667292602373,student_t,12.969969327857061,15.104047136029523,20.588060812309113,48.390863815902456,0,12.657738095238095,0.004571325803408399,0.0013034492298694593,218.7549177208931,3360,0,1.0,19907.439285714285,2081.067857142857,11.374895824056013,9.357622664176128,7.239763551745728,0.12489778712104513,11.130012420072653,11.619779228039373,student_t,23.07164022593125,38.68227487734813,81.30878580589996,0,13.138988095238096,,,,
am_n100,am,100,customer,random_clustered,3318,0,1.0,"{""ok"": 3318}",3318,18756.982519590114,17394.191681735985,1362.790837854129,7.970421174765712,6.887475336383053,4.287918175016799,0.07444033148953778,7.824467548280904,8.11637480125052,student_t,13.38038083327566,15.670074849039848,22.458911234378146,46.73541413918606,0,12.664858348402651,0.004695875495479954,0.0013145765917282495,212.95283509167916,3318,0,1.0,19604.637733574444,2210.4460518384567,12.225256642390399,10.155751260583475,8.132819150210185,0.1411896703191486,11.94842896050171,12.502084324279087,student_t,25.184056082819918,44.35169561988134,113.0152042498626,0,13.340867992766727,,,,
am_n100,am,100,demand,large_large_cv,1428,0,1.0,"{""ok"": 1428}",1428,18158.696778711485,16865.07913165266,1293.6176470588234,8.03961208998102,6.543918262334225,5.055320262291716,0.13377796038626869,7.77718952519598,8.30203465476606,student_t,13.71612323863347,16.45612311411182,27.32629278796995,69.16949748155089,0,12.396358543417367,0.004864241441657,0.001311264363448827,205.5819004862865,1428,0,1.0,19010.397058823528,2145.317927170868,12.753053144934682,9.588028071381467,13.301007921225802,0.351981994900665,12.062595482153121,13.443510807716244,student_t,27.576754683982536,58.459624174708,258.69248110330193,0,13.121148459383754,,,,
am_n100,am,100,demand,large_small_cv,1428,0,1.0,"{""ok"": 1428}",1428,18037.10924369748,16864.83823529412,1172.2710084033613,7.610494846891065,6.407050792034822,4.2770116500259965,0.11318173041511854,7.388474419186943,7.8325152745951865,student_t,12.909063044689503,15.520723304885182,22.542767263574977,59.1325109430959,0,12.271008403361344,0.004695017772113007,0.0013103943412043468,212.991739017411,1428,0,1.0,18795.540616246497,1930.702380952381,12.641189619580398,9.312721345590903,19.418748721330193,0.5138745840832963,11.633158954860935,13.649220284299862,student_t,24.314423519291275,53.69618519817424,377.3040863258447,0,12.86624649859944,,,,
am_n100,am,100,demand,many_small_few_large,1428,0,1.0,"{""ok"": 1428}",1428,19765.711484593838,17351.792717086835,2413.918767507003,12.809222740636821,11.1537094313838,7.147617816586199,0.18914602508090908,12.438188641467505,13.180256839806137,student_t,19.52401752790116,25.94458519075913,38.56438203468155,112.1682075753057,0,14.320028011204482,0.005160477223785866,0.0013276391117429199,193.78052777575735,1428,0,1.0,21837.10994397759,4485.3172268907565,22.2422522133216,16.48828217358647,27.419669749174105,0.7256014066746209,20.81889232951572,23.66561209712748,student_t,51.48469020520446,102.49783727193102,691.7740712661107,0,15.943977591036415,,,,
