model_left,model_right,paired_instances,left_wins,ties,right_wins,mean_gap_difference_left_minus_right,median_gap_difference_left_minus_right,wilcoxon_two_sided_p,wilcoxon_holm_p
am_n100,am_split_n100,10000,7603,1,2396,-1.1028409972736988,-4.144238658854678,0.0,0.0
am_n100,pomo_n100,10000,2187,3,7810,3.995044972124744,3.6282315168762036,0.0,0.0
am_n100,pomo_split_n100,10000,4448,11,5541,4.585866734882295,0.595133557414425,8.507923660201715e-121,1.701584732040343e-120
am_split_n100,pomo_n100,10000,1886,2,8112,5.097885969398442,8.09029468564804,0.0,0.0
am_split_n100,pomo_split_n100,10000,572,1,9427,5.688707732155994,4.6805828635612015,0.0,0.0
pomo_n100,pomo_split_n100,10000,7065,3,2932,0.590821762757551,-3.433317998920113,1.1476017295221005e-117,1.1476017295221005e-117
