model_key,rows,record_type_counts,max_epoch,learning_rate_min,learning_rate_max,final_train_score,final_train_loss,final_valid_rate,final_mean_routes,checkpoint_bytes,checkpoint_sha256
pomo_mtl_split_n50,795019,batch:785000;checkpoint:17;epoch:5000;event:5000;run_metadata:1;run_summary:1,5000,1e-05,0.0001,11.485217597198487,-0.12478919171094895,1.0,9.825,15389459,4eca43503312f038eb91e831e189a645e8e4e98d8e73ae9d2d0a739579f72f32
pomo_mtl_split_n100,795004,batch:785000;checkpoint:2;epoch:5000;event:5000;run_metadata:1;run_summary:1,5000,1e-05,0.0001,19.062063229370118,-0.2624154001951218,1.0,16.79055,15386003,5c97945caad8cc19255cde8bb31872fd1b4900d2990cb43ab2f7eb27090d4a7e
mvmoe_4e_split_n50,795019,batch:785000;checkpoint:17;epoch:5000;event:5000;run_metadata:1;run_summary:1,5000,1e-05,0.0001,11.458311607360839,-0.10545652204751968,1.0,9.81385,44628483,4f3b7f6d7b69ed142a3e31266668066a290f3f92513a3bda11a1b30e574e3e8d
mvmoe_4e_split_n100,795019,batch:785000;checkpoint:17;epoch:5000;event:5000;run_metadata:1;run_summary:1,5000,1e-05,0.0001,19.064954944992067,-0.21966252030730246,1.0,16.7919,44668699,7c112b1c19d7dc1ac243a9a47659719a3e269bdd029ca374f8f92716bc159e5d
mvmoe_4el_split_n50,795004,batch:785000;checkpoint:2;epoch:5000;event:5000;run_metadata:1;run_summary:1,5000,1e-05,0.0001,11.508133700561524,-0.11706930006742478,1.0,9.853,44830131,f6f35f661d1fd13466c888e0a51753c4e4b011dd64876c72241f5cb460508cf8
mvmoe_4el_split_n100,795004,batch:785000;checkpoint:2;epoch:5000;event:5000;run_metadata:1;run_summary:1,5000,1e-05,0.0001,19.04199748687744,-0.24273167526721953,1.0,16.8005,44843515,0970bd155502925715358e4e44988542a00c8178389b64a48753a7bdb29ec136
