model_key,model,n,environment,split,success,total,success_rate,mean_cost_successes,mean_vehicles_successes,published_direct_cost,split_vs_published_percent,full_set_comparable,failure_counts
mvmoe_4e_split_n50,MVMoE/4E-Split,50,VRPBTW,OOD,166,1000,0.166,21.651955632154216,17.02409638554217,16.022,35.13890670424553,False,no_feasible_candidate:834
mvmoe_4e_split_n50,MVMoE/4E-Split,50,VRPLTW,OOD,1000,1000,1.0,18.599463721514,14.84,14.937,24.519406316623147,True,
mvmoe_4e_split_n50,MVMoE/4E-Split,50,OVRPBL,OOD,1000,1000,1.0,6.5208253436984,5.646,6.076,7.3210227731797195,True,
mvmoe_4e_split_n50,MVMoE/4E-Split,50,OVRPBTW,OOD,179,1000,0.179,12.049498096682122,16.98324022346369,9.486,27.024015356126085,False,no_feasible_candidate:821
mvmoe_4e_split_n50,MVMoE/4E-Split,50,OVRPLTW,OOD,1000,1000,1.0,10.5524327035638,15.566,8.966,17.69387356194292,True,
mvmoe_4e_split_n50,MVMoE/4E-Split,50,VRPBLTW,OOD,166,1000,0.166,20.693512630393975,16.59036144578313,15.945,29.78057466537456,False,no_feasible_candidate:834
mvmoe_4e_split_n50,MVMoE/4E-Split,50,OVRPBLTW,OOD,200,1000,0.2,12.079860219847001,17.075,9.503,27.116281383215846,False,no_feasible_candidate:800
mvmoe_4e_split_n100,MVMoE/4E-Split,100,CVRP,IID,1000,1000,1.0,16.6829981148761,11.105,15.76,5.856587023325499,True,
mvmoe_4e_split_n100,MVMoE/4E-Split,100,OVRP,IID,1000,1000,1.0,11.274424788905801,12.777,10.138,11.209556016036704,True,
mvmoe_4e_split_n100,MVMoE/4E-Split,100,VRPB,IID,1000,1000,1.0,12.6102198573937,6.824,12.027,4.84925465530639,True,
mvmoe_4e_split_n100,MVMoE/4E-Split,100,VRPL,IID,1000,1000,1.0,16.7465003464784,11.163,15.812,5.910070493792063,True,
mvmoe_4e_split_n100,MVMoE/4E-Split,100,VRPTW,IID,1000,1000,1.0,34.0965014095236,28.094,25.512,33.64887664441674,True,
mvmoe_4e_split_n100,MVMoE/4E-Split,100,OVRPTW,IID,1000,1000,1.0,18.8493778169869,28.507,14.927,26.277067173490344,True,
mvmoe_4e_split_n100,MVMoE/4E-Split,100,OVRPB,OOD,1000,1000,1.0,9.7510468594753,8.026,8.959,8.840795395415801,True,
mvmoe_4e_split_n100,MVMoE/4E-Split,100,OVRPL,OOD,1000,1000,1.0,11.2263759843605,12.77,10.097,11.185262794498364,True,
mvmoe_4e_split_n100,MVMoE/4E-Split,100,VRPBL,OOD,1000,1000,1.0,12.5475916798955,6.862,11.945,5.044718961033912,True,
mvmoe_4e_split_n100,MVMoE/4E-Split,100,VRPBTW,OOD,7,1000,0.007,39.57655717812857,31.571428571428573,27.236,45.30972675183054,False,no_feasible_candidate:993
mvmoe_4e_split_n100,MVMoE/4E-Split,100,VRPLTW,OOD,1000,1000,1.0,34.114083043316505,28.168,25.514,33.70730988209025,True,
mvmoe_4e_split_n100,MVMoE/4E-Split,100,OVRPBL,OOD,1000,1000,1.0,9.7432563710136,7.993,8.942,8.960594621042283,True,
mvmoe_4e_split_n100,MVMoE/4E-Split,100,OVRPBTW,OOD,5,1000,0.005,19.73657505674,29.8,15.808,24.851815895369445,False,no_feasible_candidate:995
mvmoe_4e_split_n100,MVMoE/4E-Split,100,OVRPLTW,OOD,1000,1000,1.0,18.7356672029788,28.565,14.828,26.35329918383329,True,
mvmoe_4e_split_n100,MVMoE/4E-Split,100,VRPBLTW,OOD,10,1000,0.01,42.2405226896,31.9,27.142,55.62789289514405,False,no_feasible_candidate:990
mvmoe_4e_split_n100,MVMoE/4E-Split,100,OVRPBLTW,OOD,7,1000,0.007,22.948026659785715,30.285714285714285,15.671,46.43626226651596,False,no_feasible_candidate:993
mvmoe_4el_split_n50,MVMoE/4E-L-Split,50,CVRP,IID,1000,1000,1.0,10.8751992221824,7.11,10.434,4.228476348307475,True,
mvmoe_4el_split_n50,MVMoE/4E-L-Split,50,OVRP,IID,1000,1000,1.0,7.2639982002788,8.538,6.665,8.987219809134285,True,
mvmoe_4el_split_n50,MVMoE/4E-L-Split,50,VRPB,IID,1000,1000,1.0,8.3935219289195,4.443,8.176,2.660493259778618,True,
mvmoe_4el_split_n50,MVMoE/4E-L-Split,50,VRPL,IID,1000,1000,1.0,10.960125674649,7.188,10.506,4.322536404426036,True,
mvmoe_4el_split_n50,MVMoE/4E-L-Split,50,VRPTW,IID,1000,1000,1.0,18.7014599767717,14.835,15.013,24.568440530018655,True,
mvmoe_4el_split_n50,MVMoE/4E-L-Split,50,OVRPTW,IID,1000,1000,1.0,10.5680990485674,15.61,8.974,17.763528510891447,True,
mvmoe_4el_split_n50,MVMoE/4E-L-Split,50,OVRPB,OOD,1000,1000,1.0,6.5420210938716,5.647,6.122,6.860847662064695,True,
mvmoe_4el_split_n50,MVMoE/4E-L-Split,50,OVRPL,OOD,1000,1000,1.0,7.2361942890825,8.572,6.659,8.66788240099865,True,
mvmoe_4el_split_n50,MVMoE/4E-L-Split,50,VRPBL,OOD,1000,1000,1.0,8.4176199713405,4.507,8.18,2.9048896251894885,True,
mvmoe_4el_split_n50,MVMoE/4E-L-Split,50,VRPBTW,OOD,148,1000,0.148,21.626477183669596,16.85810810810811,16.041,34.82000613222116,False,no_feasible_candidate:852
mvmoe_4el_split_n50,MVMoE/4E-L-Split,50,VRPLTW,OOD,1000,1000,1.0,18.604880569520798,14.843,14.953,24.42239396456094,True,
mvmoe_4el_split_n50,MVMoE/4E-L-Split,50,OVRPBL,OOD,1000,1000,1.0,6.511853129626,5.701,6.104,6.681735413269996,True,
mvmoe_4el_split_n50,MVMoE/4E-L-Split,50,OVRPBTW,OOD,173,1000,0.173,12.277622871302889,17.09826589595376,9.515,29.034396965873754,False,no_feasible_candidate:827
mvmoe_4el_split_n50,MVMoE/4E-L-Split,50,OVRPLTW,OOD,1000,1000,1.0,10.5630566593778,15.596,8.974,17.70733964093827,True,
mvmoe_4el_split_n50,MVMoE/4E-L-Split,50,VRPBLTW,OOD,169,1000,0.169,20.914772183410058,16.71005917159763,15.963,31.020310614609148,False,no_feasible_candidate:831
mvmoe_4el_split_n50,MVMoE/4E-L-Split,50,OVRPBLTW,OOD,200,1000,0.2,12.1196326946095,17.085,9.518,27.333816921721986,False,no_feasible_candidate:800
mvmoe_4el_split_n100,MVMoE/4E-L-Split,100,CVRP,IID,1000,1000,1.0,16.6815717463184,11.105,15.771,5.773709633621205,True,
mvmoe_4el_split_n100,MVMoE/4E-L-Split,100,OVRP,IID,1000,1000,1.0,11.2919557327445,12.773,10.145,11.305625754011839,True,
mvmoe_4el_split_n100,MVMoE/4E-L-Split,100,VRPB,IID,1000,1000,1.0,12.648968797356499,6.851,12.036,5.092794926524591,True,
mvmoe_4el_split_n100,MVMoE/4E-L-Split,100,VRPL,IID,1000,1000,1.0,16.7404615516086,11.147,15.821,5.811652560575187,True,
mvmoe_4el_split_n100,MVMoE/4E-L-Split,100,VRPTW,IID,1000,1000,1.0,34.0794390553488,28.167,25.519,33.54535465868098,True,
mvmoe_4el_split_n100,MVMoE/4E-L-Split,100,OVRPTW,IID,1000,1000,1.0,18.854851746342703,28.555,14.94,26.20382695008503,True,
mvmoe_4el_split_n100,MVMoE/4E-L-Split,100,OVRPB,OOD,1000,1000,1.0,9.7492133615516,8.051,8.972,8.662654497900135,True,
mvmoe_4el_split_n100,MVMoE/4E-L-Split,100,OVRPL,OOD,1000,1000,1.0,11.2451018163088,12.761,10.106,11.27153984077578,True,
mvmoe_4el_split_n100,MVMoE/4E-L-Split,100,VRPBL,OOD,1000,1000,1.0,12.5878855119701,6.884,11.96,5.249878862626245,True,
mvmoe_4el_split_n100,MVMoE/4E-L-Split,100,VRPBTW,OOD,5,1000,0.005,45.739872967539995,33.4,27.265,67.76039966088389,False,no_feasible_candidate:995
mvmoe_4el_split_n100,MVMoE/4E-L-Split,100,VRPLTW,OOD,1000,1000,1.0,34.1433349334401,28.22,25.529,33.74333085291277,True,
mvmoe_4el_split_n100,MVMoE/4E-L-Split,100,OVRPBL,OOD,1000,1000,1.0,9.7442863570255,8.07,8.957,8.789621045277428,True,
mvmoe_4el_split_n100,MVMoE/4E-L-Split,100,OVRPBTW,OOD,9,1000,0.009,22.576620173133335,31.444444444444443,15.841,42.520170274183045,False,no_feasible_candidate:991
mvmoe_4el_split_n100,MVMoE/4E-L-Split,100,OVRPLTW,OOD,1000,1000,1.0,18.753690010299298,28.526,14.839,26.381090439377974,True,
mvmoe_4el_split_n100,MVMoE/4E-L-Split,100,VRPBLTW,OOD,9,1000,0.009,44.84975424693333,31.444444444444443,27.177,65.02834840833546,False,no_feasible_candidate:991
mvmoe_4el_split_n100,MVMoE/4E-L-Split,100,OVRPBLTW,OOD,16,1000,0.016,22.6512578571,31.0,15.706,44.22041167133579,False,no_feasible_candidate:984
