instance,distance_1x,distance_aug,vehicle_count,feasible
0,16.525300979614258,16.525300979614258,11,1
1,13.469368934631348,12.472244262695312,9,1
2,19.464454650878906,18.409236907958984,11,1
3,19.104068756103516,19.104068756103516,11,1
4,13.745821952819824,13.351415634155273,11,1
5,14.984522819519043,14.374977111816406,11,1
6,15.552549362182617,15.275491714477539,11,1
7,14.683216094970703,13.486536979675293,10,1
8,13.146655082702637,13.146655082702637,10,1
9,15.798789978027344,15.271675109863281,11,1
10,13.984089851379395,13.588371276855469,10,1
11,14.224278450012207,12.80398941040039,10,1
12,20.70825958251953,18.751344680786133,11,1
13,12.833935737609863,12.261663436889648,9,1
14,17.803855895996094,17.18634605407715,12,1
15,13.552751541137695,13.251846313476562,10,1
16,15.917421340942383,15.007798194885254,11,1
17,13.686731338500977,11.696710586547852,10,1
18,15.480952262878418,14.448556900024414,11,1
19,25.35301971435547,23.815168380737305,13,1
20,17.464143753051758,16.69040870666504,10,1
21,12.577117919921875,12.437627792358398,9,1
22,15.329782485961914,15.296283721923828,11,1
23,18.406574249267578,17.282114028930664,11,1
24,16.886524200439453,16.886524200439453,11,1
25,16.3377685546875,15.859079360961914,11,1
26,13.697915077209473,12.686323165893555,10,1
27,17.01803207397461,16.204439163208008,10,1
28,18.714868545532227,17.429553985595703,12,1
29,12.915396690368652,12.374228477478027,9,1
30,14.053985595703125,12.788362503051758,10,1
31,18.322603225708008,16.513587951660156,11,1
32,14.76783561706543,13.296928405761719,10,1
33,14.799227714538574,14.799227714538574,11,1
34,15.36785888671875,13.233004570007324,10,1
35,14.399884223937988,13.559264183044434,10,1
36,26.888002395629883,26.888002395629883,15,1
37,15.776766777038574,15.473349571228027,11,1
38,14.926223754882812,14.205938339233398,10,1
39,18.089540481567383,17.617998123168945,12,1
40,13.158241271972656,13.158241271972656,10,1
41,16.990182876586914,15.19567584991455,10,1
42,22.545385360717773,22.15587615966797,13,1
43,16.705745697021484,15.679316520690918,11,1
44,13.14816665649414,12.183906555175781,10,1
45,12.985613822937012,12.040209770202637,10,1
46,15.00914192199707,14.670392990112305,12,1
47,15.405949592590332,15.405949592590332,11,1
48,14.263324737548828,13.775168418884277,10,1
49,13.471366882324219,13.056358337402344,11,1
50,13.35277271270752,13.080056190490723,11,1
51,13.502209663391113,12.579211235046387,11,1
52,23.08278465270996,22.495603561401367,13,1
53,14.612201690673828,14.612201690673828,11,1
54,26.951576232910156,23.32196617126465,12,1
55,13.59284496307373,12.730636596679688,10,1
56,12.883609771728516,12.773673057556152,10,1
57,23.711341857910156,21.709272384643555,12,1
58,13.026029586791992,12.624850273132324,10,1
59,14.228032112121582,13.96862506866455,10,1
60,19.777759552001953,18.792354583740234,11,1
61,22.487892150878906,22.487892150878906,13,1
62,14.166191101074219,13.070737838745117,10,1
63,22.06334114074707,22.06334114074707,12,1
64,15.11835765838623,14.817444801330566,10,1
65,13.30837345123291,13.021224021911621,10,1
66,16.104570388793945,15.222122192382812,11,1
67,15.11063003540039,15.108607292175293,11,1
68,13.516585350036621,12.580668449401855,10,1
69,16.423351287841797,16.423351287841797,11,1
70,18.111183166503906,18.111183166503906,12,1
71,14.198721885681152,13.58367919921875,10,1
72,19.474260330200195,18.13718032836914,11,1
73,19.617408752441406,18.251544952392578,11,1
74,12.928930282592773,12.650790214538574,10,1
75,13.840303421020508,13.569087028503418,10,1
76,16.960840225219727,15.813200950622559,11,1
77,14.71610164642334,14.08463191986084,10,1
78,14.476234436035156,13.295586585998535,10,1
79,19.713228225708008,19.39492416381836,12,1
80,15.757353782653809,14.6100435256958,10,1
81,13.224689483642578,12.162789344787598,10,1
82,24.014942169189453,23.1660213470459,14,1
83,19.146114349365234,19.039697647094727,11,1
84,14.136377334594727,13.741751670837402,11,1
85,13.919676780700684,13.919676780700684,10,1
86,20.93817138671875,20.140077590942383,12,1
87,19.06670379638672,18.5325870513916,11,1
88,15.030208587646484,15.030208587646484,11,1
89,13.745138168334961,13.370779991149902,9,1
90,22.554277420043945,22.542951583862305,12,1
91,13.68057918548584,13.456353187561035,10,1
92,15.226801872253418,14.497872352600098,11,1
93,13.91376781463623,13.669352531433105,11,1
94,21.60334587097168,21.256837844848633,13,1
95,14.732741355895996,14.732741355895996,11,1
96,14.723873138427734,13.62919807434082,11,1
97,17.744665145874023,17.14217185974121,11,1
98,13.11931037902832,12.524107933044434,11,1
99,16.25531578063965,15.384090423583984,10,1
100,17.35155487060547,16.814170837402344,12,1
101,15.087833404541016,14.984033584594727,10,1
102,21.38068389892578,21.38068389892578,12,1
103,16.77362632751465,16.053693771362305,10,1
104,14.318821907043457,13.330411911010742,10,1
105,13.436235427856445,12.168110847473145,10,1
106,15.682199478149414,14.575181007385254,10,1
107,23.3807430267334,21.098064422607422,12,1
108,14.5971040725708,13.749931335449219,11,1
109,12.01816177368164,11.625389099121094,11,1
110,16.854646682739258,16.11176872253418,11,1
111,16.015716552734375,14.68335247039795,10,1
112,18.462827682495117,17.99408721923828,12,1
113,22.148284912109375,20.934951782226562,12,1
114,25.573270797729492,24.852102279663086,13,1
115,20.137317657470703,19.140647888183594,12,1
116,16.90584373474121,16.69641876220703,12,1
117,20.652400970458984,19.89672088623047,12,1
118,15.099604606628418,14.341697692871094,10,1
119,17.49219512939453,16.500625610351562,11,1
120,21.60219955444336,20.000118255615234,13,1
121,17.14762306213379,17.14762306213379,11,1
122,14.099052429199219,13.87541389465332,11,1
123,12.793891906738281,12.603604316711426,10,1
124,16.85085105895996,16.27474021911621,11,1
125,15.27331256866455,15.126566886901855,11,1
126,21.497894287109375,19.3212890625,12,1
127,13.592365264892578,13.083060264587402,10,1
128,15.649563789367676,14.588873863220215,10,1
129,17.823713302612305,17.610273361206055,11,1
130,16.391712188720703,15.555986404418945,11,1
131,14.853321075439453,14.853321075439453,11,1
132,14.066734313964844,13.723340034484863,10,1
133,13.702741622924805,13.65966796875,10,1
134,13.481042861938477,13.396214485168457,11,1
135,17.939985275268555,17.895423889160156,13,1
136,19.51209831237793,18.62911605834961,11,1
137,17.69104766845703,17.69104766845703,11,1
138,18.83245849609375,17.02751350402832,11,1
139,15.026254653930664,15.01916790008545,11,1
140,13.884086608886719,13.884086608886719,11,1
141,12.621332168579102,12.621332168579102,10,1
142,17.67494010925293,17.67494010925293,12,1
143,14.994302749633789,13.05535888671875,10,1
144,13.698192596435547,12.790549278259277,9,1
145,16.154035568237305,14.082708358764648,10,1
146,14.22916030883789,14.22916030883789,10,1
147,13.924687385559082,13.212193489074707,10,1
148,12.073620796203613,11.843165397644043,10,1
149,22.275793075561523,21.169588088989258,13,1
150,12.115767478942871,12.027466773986816,10,1
151,22.088764190673828,19.78824806213379,12,1
152,13.209663391113281,12.803503036499023,10,1
153,14.336647987365723,14.301484107971191,10,1
154,14.0706205368042,13.721566200256348,11,1
155,14.280179977416992,13.8270845413208,11,1
156,18.704179763793945,18.157384872436523,11,1
157,19.44341278076172,19.309446334838867,11,1
158,15.753168106079102,13.977276802062988,10,1
159,12.847607612609863,11.15761947631836,9,1
160,16.734634399414062,15.657808303833008,11,1
161,16.522092819213867,16.198978424072266,11,1
162,13.652366638183594,13.148283958435059,10,1
163,16.019113540649414,15.607016563415527,11,1
164,20.42527198791504,18.4544677734375,11,1
165,12.457046508789062,11.418620109558105,11,1
166,13.27283000946045,12.873160362243652,11,1
167,17.974821090698242,16.92313575744629,11,1
168,25.720767974853516,25.03731346130371,13,1
169,15.17013168334961,15.011946678161621,12,1
170,17.208696365356445,16.36700439453125,10,1
171,16.462966918945312,16.011789321899414,11,1
172,13.890170097351074,13.413995742797852,10,1
173,19.02508544921875,18.01405906677246,11,1
174,14.957235336303711,14.272623062133789,11,1
175,18.980810165405273,18.188684463500977,11,1
176,14.846632957458496,13.617794036865234,11,1
177,15.680025100708008,14.502950668334961,10,1
178,12.96767807006836,12.307998657226562,10,1
179,12.46230411529541,12.299798965454102,9,1
180,13.270339965820312,13.138912200927734,10,1
181,14.08866024017334,14.056897163391113,10,1
182,14.669319152832031,14.53688907623291,11,1
183,20.85777473449707,19.065462112426758,11,1
184,13.460948944091797,13.460948944091797,10,1
185,20.2632999420166,19.230655670166016,11,1
186,25.279563903808594,24.811948776245117,13,1
187,17.090747833251953,15.98039436340332,10,1
188,15.567277908325195,14.615604400634766,10,1
189,20.221349716186523,18.9864444732666,12,1
190,17.733257293701172,16.198049545288086,11,1
191,14.290651321411133,13.927264213562012,11,1
192,20.88482093811035,20.88482093811035,12,1
193,15.46359634399414,14.583662033081055,11,1
194,14.753209114074707,14.081838607788086,11,1
195,17.248044967651367,16.606172561645508,11,1
196,18.879220962524414,18.22625732421875,11,1
197,14.540855407714844,13.612114906311035,10,1
198,13.404860496520996,12.357477188110352,10,1
199,15.904520034790039,15.904520034790039,12,1
200,17.03548812866211,16.58855438232422,11,1
201,12.610520362854004,12.610520362854004,10,1
202,15.963605880737305,15.656864166259766,11,1
203,15.792654991149902,14.870128631591797,10,1
204,13.087714195251465,12.46467113494873,10,1
205,17.614492416381836,16.48672103881836,11,1
206,12.733674049377441,12.146845817565918,10,1
207,14.97778606414795,14.97778606414795,11,1
208,14.471611976623535,13.758416175842285,11,1
209,14.72010326385498,13.862977027893066,10,1
210,12.757162094116211,12.446849822998047,10,1
211,16.00393295288086,15.081522941589355,11,1
212,13.513327598571777,13.513327598571777,10,1
213,15.68143367767334,15.430598258972168,10,1
214,14.308194160461426,14.110822677612305,11,1
215,20.299226760864258,19.93522834777832,12,1
216,16.67927360534668,14.950005531311035,10,1
217,14.46660041809082,13.203146934509277,10,1
218,17.406877517700195,16.145719528198242,11,1
219,15.192604064941406,14.647771835327148,12,1
220,16.194419860839844,15.66848373413086,10,1
221,19.749107360839844,19.749107360839844,12,1
222,19.42610740661621,19.174453735351562,12,1
223,14.809877395629883,14.809877395629883,10,1
224,16.659330368041992,16.419979095458984,11,1
225,14.875941276550293,13.18270206451416,10,1
226,17.21377944946289,17.21377944946289,11,1
227,18.093399047851562,17.2345027923584,11,1
228,20.412282943725586,20.412282943725586,13,1
229,13.002350807189941,12.33649730682373,11,1
230,12.941346168518066,12.787125587463379,10,1
231,13.944832801818848,13.387178421020508,11,1
232,13.95029067993164,13.906129837036133,10,1
233,13.19908332824707,12.624504089355469,10,1
234,16.64188003540039,16.64188003540039,11,1
235,20.992820739746094,19.302186965942383,12,1
236,14.829327583312988,14.192756652832031,10,1
237,19.867918014526367,19.22154998779297,13,1
238,15.271998405456543,14.533292770385742,10,1
239,12.220925331115723,11.855022430419922,10,1
240,12.370077133178711,12.370077133178711,10,1
241,15.497071266174316,15.407034873962402,11,1
242,14.0728120803833,13.771167755126953,10,1
243,17.253700256347656,15.626044273376465,11,1
244,16.628543853759766,16.187192916870117,11,1
245,18.573686599731445,17.617753982543945,11,1
246,19.916240692138672,19.15777587890625,11,1
247,19.42396354675293,18.289836883544922,11,1
248,16.036441802978516,16.036441802978516,11,1
249,19.816843032836914,18.99562644958496,11,1
250,18.271202087402344,16.72600746154785,11,1
251,12.970328330993652,12.374835014343262,9,1
252,14.907241821289062,14.697132110595703,11,1
253,14.59722900390625,13.534175872802734,10,1
254,14.901610374450684,13.87490177154541,11,1
255,13.937549591064453,12.85154914855957,10,1
256,17.67302703857422,16.265575408935547,11,1
257,13.470816612243652,13.350870132446289,10,1
258,13.523053169250488,12.962695121765137,11,1
259,18.118053436279297,17.995555877685547,11,1
260,20.10728645324707,19.838821411132812,12,1
261,14.953239440917969,13.888669967651367,10,1
262,11.829996109008789,10.637961387634277,9,1
263,15.669567108154297,14.524636268615723,11,1
264,14.241128921508789,13.334488868713379,11,1
265,14.717656135559082,14.160632133483887,10,1
266,20.5847225189209,19.235368728637695,12,1
267,17.162874221801758,16.197053909301758,11,1
268,12.819211959838867,12.392664909362793,10,1
269,17.376150131225586,16.749181747436523,10,1
270,17.059288024902344,16.279659271240234,11,1
271,17.819250106811523,16.55609893798828,11,1
272,28.57198715209961,27.61225700378418,14,1
273,23.273584365844727,23.273584365844727,13,1
274,12.621844291687012,12.621844291687012,10,1
275,16.168922424316406,15.155091285705566,11,1
276,14.951492309570312,13.120731353759766,11,1
277,16.824689865112305,15.544328689575195,11,1
278,12.423057556152344,12.281523704528809,10,1
279,22.43287467956543,21.822973251342773,12,1
280,20.430824279785156,19.415855407714844,12,1
281,15.786523818969727,14.831058502197266,10,1
282,21.72311782836914,19.319080352783203,12,1
283,17.984458923339844,17.982086181640625,12,1
284,17.795116424560547,17.514408111572266,12,1
285,12.711258888244629,12.711258888244629,10,1
286,13.820180892944336,13.504989624023438,10,1
287,20.467851638793945,20.467851638793945,12,1
288,20.575716018676758,19.80997085571289,12,1
289,15.40613842010498,15.163032531738281,10,1
290,17.558706283569336,15.99339771270752,11,1
291,17.675649642944336,17.675649642944336,11,1
292,17.625446319580078,16.829530715942383,11,1
293,16.50141716003418,15.058844566345215,10,1
294,18.755783081054688,18.056903839111328,11,1
295,13.775314331054688,13.01722240447998,10,1
296,20.015663146972656,19.367408752441406,13,1
297,15.73930835723877,14.8074951171875,11,1
298,11.841087341308594,11.841087341308594,9,1
299,16.073749542236328,14.712095260620117,11,1
300,15.215899467468262,14.077366828918457,10,1
