protocol,model,architecture,trained_size,checkpoint,instance,family,customers,max_fleet,fleet_limit_enforced,coordinate_scale,candidates_total,candidates_externally_feasible,selected_vehicles,selected_distance_raw,selected_distance_2dp,selected_exceeds_reported_fleet,distance_only_vehicles,distance_only_raw,distance_only_2dp,official_lex_vehicles,official_lex_raw,official_lex_2dp,same_candidate,sintef_double_bks_vehicles,sintef_double_bks_distance,sintef_vehicle_gap,sintef_official_distance_gap_pct,sintef_nonofficial_distance_only_gap_pct,legacy_reference_vehicles,legacy_reference_distance,legacy_distance_only_gap_pct_noncomparable,elapsed_seconds,status
mvmoe_table7_greedy_8fold_distance,pomo_tw_direct_n50,pomo_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_direct/checkpoint-2000.pt,C101,C1,50,25,False,412.000000000000,400,400,8,497.859421304211,497.86,False,8,497.859421304211,497.86,8,497.859421304211,497.86,True,,,,,,5,362.4,37.378427512199444,0.85829758644104,ok
mvmoe_table7_greedy_8fold_distance,pomo_tw_split_v4_n50,pomo_split_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/pomo_split_v4/checkpoint-2000.pt,C101,C1,50,25,False,412.000000000000,400,400,8,504.272353648343,504.27,False,8,504.272353648343,504.27,8,504.272353648343,504.27,True,,,,,,5,362.4,39.14800045484068,0.783881664276123,ok
mvmoe_table7_greedy_8fold_distance,am_tw_direct_n50,am_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/am_direct/epoch-100.pt,C101,C1,50,25,False,412.000000000000,8,8,7,551.303221629275,551.30,False,7,551.303221629275,551.30,7,551.303221629275,551.30,True,,,,,,5,362.4,52.12561303236071,0.20988869667053223,ok
mvmoe_table7_greedy_8fold_distance,am_tw_split_v4_n50,am_split_tw,50,/root/autodl-tmp/split_v4_n50_eval_20260922/models/tw/am_split_v4/epoch-100.pt,C101,C1,50,25,False,412.000000000000,8,8,10,855.563719926170,855.56,False,10,855.563719926170,855.56,10,855.563719926170,855.56,True,,,,,,5,362.4,136.0827041738879,0.11542201042175293,ok
