model,trained_size,evaluation_size,problem,variant_regime,instances,direct_ok,split_ok,split_failed,direct_mean_cost_all,direct_mean_cost_paired,split_mean_cost_paired,split_vs_direct_percent,split_mean_vehicles
MVMoE_4E_L,50,50,CVRP,trained_variant,1000,1000,1000,0,10.4347719078,10.4347719078,10.6885681232,2.432216,7.077000
MVMoE_4E_L,50,50,OVRP,trained_variant,1000,1000,1000,0,6.6628613501,6.6628613501,6.6997944095,0.554312,8.070000
MVMoE_4E_L,50,50,OVRPB,unseen_variant,1000,1000,1000,0,6.1202655993,6.1202655993,6.3040395430,3.002712,5.548000
MVMoE_4E_L,50,50,OVRPBL,unseen_variant,1000,1000,1000,0,6.1014100513,6.1014100513,6.2742979747,2.833573,5.548000
MVMoE_4E_L,50,50,OVRPBLTW,unseen_variant,1000,1000,218,782,9.5206845913,9.1914603360,10.1960459982,10.929554,13.284404
MVMoE_4E_L,50,50,OVRPBTW,unseen_variant,1000,1000,228,772,9.5107292151,9.1543463489,10.1576807083,10.960197,13.162281
MVMoE_4E_L,50,50,OVRPL,unseen_variant,1000,1000,1000,0,6.6604734964,6.6604734964,6.6931209055,0.490166,8.094000
MVMoE_4E_L,50,50,OVRPLTW,unseen_variant,1000,1000,1000,0,8.9735716286,8.9735716286,9.2037326556,2.564876,12.187000
MVMoE_4E_L,50,50,OVRPTW,trained_variant,1000,1000,1000,0,8.9744428849,8.9744428849,9.2159146268,2.690660,12.276000
MVMoE_4E_L,50,50,VRPB,trained_variant,1000,1000,1000,0,8.1741781092,8.1741781092,8.3623407612,2.301915,4.485000
MVMoE_4E_L,50,50,VRPBL,unseen_variant,1000,1000,1000,0,8.1782189860,8.1782189860,8.3750626184,2.406925,4.530000
MVMoE_4E_L,50,50,VRPBLTW,unseen_variant,1000,1000,234,766,15.9666287613,15.2552966216,17.1400084785,12.354475,12.615385
MVMoE_4E_L,50,50,VRPBTW,unseen_variant,1000,1000,217,783,16.0428764563,15.3225534676,17.4121519175,13.637404,12.686636
MVMoE_4E_L,50,50,VRPL,trained_variant,1000,1000,1000,0,10.5064340301,10.5064340301,10.7528191238,2.345088,7.120000
MVMoE_4E_L,50,50,VRPLTW,unseen_variant,1000,1000,1000,0,14.9563429928,14.9563429928,15.5586752081,4.027269,11.177000
MVMoE_4E_L,50,50,VRPTW,trained_variant,1000,1000,1000,0,15.0169053516,15.0169053516,15.6236502867,4.040413,11.123000
MVMoE_4E_L,50,100,CVRP,trained_variant,1000,1000,1000,0,16.2208382082,16.2208382082,17.1490295320,5.722216,11.288000
MVMoE_4E_L,50,100,OVRP,trained_variant,1000,1000,1000,0,10.4976400394,10.4976400394,10.8314657284,3.180007,12.993000
MVMoE_4E_L,50,100,OVRPB,unseen_variant,1000,1000,1000,0,9.2062434778,9.2062434778,10.0065447157,8.693027,8.664000
MVMoE_4E_L,50,100,OVRPBL,unseen_variant,1000,1000,1000,0,9.1891003003,9.1891003003,9.9943906195,8.763538,8.644000
MVMoE_4E_L,50,100,OVRPBLTW,unseen_variant,1000,1000,62,938,16.1140091572,15.5532977196,18.8006205260,20.878677,25.354839
MVMoE_4E_L,50,100,OVRPBTW,unseen_variant,1000,1000,49,951,16.2687745943,16.2034555552,19.5947372397,20.929373,25.387755
MVMoE_4E_L,50,100,OVRPL,unseen_variant,1000,1000,1000,0,10.4431216202,10.4431216202,10.7916160109,3.337071,12.996000
MVMoE_4E_L,50,100,OVRPLTW,unseen_variant,1000,1000,1000,0,15.3320484295,15.3320484295,16.6863002689,8.832817,22.590000
MVMoE_4E_L,50,100,OVRPTW,trained_variant,1000,1000,1000,0,15.4269376297,15.4269376297,16.7976374985,8.885107,22.659000
