model,trained_size,evaluation_size,variant_regime,paired_instances,direct_mean_cost,split_mean_cost,split_vs_direct_percent
MVMoE_4E_L,50,50,all,12897,9.4398340095,9.7759094685,3.560184
MVMoE_4E_L,50,50,trained_variant,6000,9.9615989389,10.2238478885,2.632599
MVMoE_4E_L,50,50,unseen_variant,6897,8.9859280248,9.3862283724,4.454747
MVMoE_4E_L,50,100,all,12189,15.1589266618,16.6546328807,9.866835
MVMoE_4E_L,50,100,trained_variant,6000,16.2688595812,17.7321406738,8.994368
MVMoE_4E_L,50,100,unseen_variant,6189,14.0828889310,15.6100300759,10.843948
MVMoE_4E_L,50,200,all,12002,26.2848287382,29.6393725212,12.762281
MVMoE_4E_L,50,200,trained_variant,6000,27.9322277582,31.1935628878,11.675886
MVMoE_4E_L,50,200,unseen_variant,6002,24.6379786682,28.0857000455,13.993524
