model_left,model_right,paired_instances,left_wins,ties,right_wins,mean_gap_difference_left_minus_right,median_gap_difference_left_minus_right,wilcoxon_two_sided_p,wilcoxon_holm_p
am_direct_n50,am_split_v4_n50,10000,8059,3,1938,-3.0265546980531233,-3.602378699498884,0.0,0.0
am_direct_n50,pomo_direct_n50,10000,1187,4,8809,3.369958298305118,3.2431283279723626,0.0,0.0
am_direct_n50,pomo_split_v4_n50,10000,8078,6,1916,-2.48439314131352,-2.9798509785031073,0.0,0.0
am_split_v4_n50,pomo_direct_n50,10000,512,1,9487,6.3965129963582426,6.7011913517746144,0.0,0.0
am_split_v4_n50,pomo_split_v4_n50,10000,3917,12,6071,0.5421615567396031,0.5871707674618838,7.291244231740093e-116,7.291244231740093e-116
pomo_direct_n50,pomo_split_v4_n50,10000,9530,0,470,-5.854351439618638,-6.220602909074939,0.0,0.0
